schema_key	dimension	band	source	basin08_col_s	basin08_col_u	friendly_name	type	units	s_u	status	atlas_id	api_key_s	api_key_u	high_r_partner	concordance_notes	typology_cluster	scale_sensitivity	I_L6	I_L8	scale_dir	historical_validity	informative_or_degenerate	distribution_notes	position_method	position_notes	notes	zero_fraction_s_L6	zero_fraction_u_L6	zero_fraction_s_L8	zero_fraction_u_L8
elevation_min	elevation	A	BasinATLAS v1.0	ele_mt_smn		Elevation minimum	float	m	s	implemented	P01	elev_min			No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient		0.8836	0.9433	↑	full-record	informative	Skewness 4.35; zero-fraction 0.11.	percentile	6.0% zero basins included in CDF as-is	Basin minimum elevation	0.1129		0.0603	
elevation_max	elevation	A	BasinATLAS v1.0	ele_mt_smx		Elevation maximum	float	m	s	implemented	P01	elev_max			No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent	I near 0.85	0.8481	0.9326	↑	full-record	informative	Skewness 1.86; zero-fraction 0.00.	percentile	non-null basins; no transform needed	Basin maximum elevation	0.0007		0.0005	
elevation_mean	elevation	A	BasinATLAS v1.0	ele_mt_sav	ele_mt_uav	Elevation mean	float	m	s+u	planned	P01				No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient		0.9241	0.9697	↑	full-record		Skewness 3.08; zero-fraction 0.00.	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	Mean basin elevation; u available in basin08				
elevation_point	elevation	A	Derived			Point elevation	float	m	point	implemented		elev_point			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	full-record		deferred-phase4	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	Derived from OpenTopoData/Open-Meteo; not a basin08 field				
relief_range_m	elevation	A	Derived			Relief range	float	m	derived	implemented		relief_range_m			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	full-record		deferred-phase4	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	Derived: elev_max - elev_min				
relief_position	elevation	A	Derived			Relief position	float	0–1	derived	implemented		relief_position			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	full-record		deferred-phase4	percentile	best-effort; not yet implemented; transform to be confirmed on implementation	Derived: (elev_point - elev_min) / relief_range				
slope_deg	terrain	A	BasinATLAS v1.0	slp_dg_sav	slp_dg_uav	Slope	float	degrees	s+u	implemented	P02	slope_avg	slope_upstream		No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent		0.8048	0.8789	↑	full-record	informative	Skewness 1.95; zero-fraction 0.03; missing 184.2%.	percentile	3.4% null basins excluded from CDF; 4.8% zero basins included in CDF as-is	u already in view as slope_upstream	0.029	0.0175	0.0479	0.0277
stream_gradient	terrain	A	BasinATLAS v1.0	sgr_dk_sav		Stream gradient	float	m/km	s	implemented	P03	stream_gradient			No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent	I near 0.7	0.7248	0.7921	↑	full-record	informative	Skewness 3.86; zero-fraction 0.01; missing 251.3%.	percentile	4.1% null basins excluded from CDF; 1.4% zero basins included in CDF as-is		0.0061		0.0137	
lithology_name	geology	A	BasinATLAS v1.0	lit_cl_smj		Lithology class name	string		s	implemented	S06	lith_class			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	full-record	informative	deferred-phase4	rarity_rank	16 classes; rarity range 0.07%–27.7% of non-null L8 basins	Resolved via lu_lit	0.0		0.0	
karst_pct	geology	A	BasinATLAS v1.0	kar_pc_sse	kar_pc_use	Karst area	float	%	s+u	implemented	S07	karst	karst_upstream		No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent	I near 0.7	0.6759	0.8197	↑	full-record	informative	Skewness 2.48; zero-fraction 0.70.	percentile	81.9% zero basins included in CDF as-is	u already in view as karst_upstream	0.6959	0.6122	0.8188	0.7331
