schema_key	dimension	band	basin08_col_s	basin08_col_u	friendly_name	type	units	s_u	status	atlas_id	notes	api_key_s	api_key_u	position_method	position_notes	high_r_partner	concordance_notes	typology_cluster	scale_sensitivity	I_L6	I_L8	scale_dir	historical_validity	informative_or_degenerate	distribution_notes
elevation_min	elevation	A	ele_mt_smn		Elevation minimum	float	m	s	implemented	P01	Basin minimum elevation	elev_min		percentile	6.0% zero basins included in CDF as-is		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient		0.8836	0.9433	↑	full-record	informative	Skewness 4.35; zero-fraction 0.11.
elevation_max	elevation	A	ele_mt_smx		Elevation maximum	float	m	s	implemented	P01	Basin maximum elevation	elev_max		percentile	non-null basins; no transform needed		No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent	I near 0.85	0.8481	0.9326	↑	full-record	informative	Skewness 1.86; zero-fraction 0.00.
elevation_mean	elevation	A	ele_mt_sav	ele_mt_uav	Elevation mean	float	m	s+u	planned	P01	Mean basin elevation; u available in basin08			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient		0.9241	0.9697	↑	full-record		Skewness 3.08; zero-fraction 0.00.
elevation_point	elevation	A			Point elevation	float	m	point	implemented		Derived from OpenTopoData/Open-Meteo; not a basin08 field	elev_point		percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	full-record		deferred-phase4
relief_range_m	elevation	A			Relief range	float	m	derived	implemented		Derived: elev_max - elev_min	relief_range_m		percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	full-record		deferred-phase4
relief_position	elevation	A			Relief position	float	0–1	derived	implemented		Derived: (elev_point - elev_min) / relief_range	relief_position		percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	full-record		deferred-phase4
slope_deg	terrain	A	slp_dg_sav	slp_dg_uav	Slope	float	degrees	s+u	implemented	P02	u already in view as slope_upstream	slope_avg	slope_upstream	percentile	3.4% null basins excluded from CDF; 4.8% zero basins included in CDF as-is		No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent		0.8048	0.8789	↑	full-record	informative	Skewness 1.95; zero-fraction 0.03; missing 184.2%.
stream_gradient	terrain	A	sgr_dk_sav		Stream gradient	float	m/km	s	implemented	P03		stream_gradient		percentile	4.1% null basins excluded from CDF; 1.4% zero basins included in CDF as-is		No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent	I near 0.7	0.7248	0.7921	↑	full-record	informative	Skewness 3.86; zero-fraction 0.01; missing 251.3%.
lithology_name	geology	A	lit_cl_smj		Lithology class name	string		s	implemented		Resolved via lu_lit	lith_class		rarity_rank	16 classes; rarity range 0.07%–27.7% of non-null L8 basins		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	full-record	informative	deferred-phase4
karst_pct	geology	A	kar_pc_sse	kar_pc_use	Karst area	float	%	s+u	implemented	S07	u already in view as karst_upstream	karst	karst_upstream	percentile	81.9% zero basins included in CDF as-is		No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent	I near 0.7	0.6759	0.8197	↑	full-record	informative	Skewness 2.48; zero-fraction 0.70.
erosion_rate	geology	A	ero_kh_sav	ero_kh_uav	Erosion rate	float	t/ha/yr	s+u	planned	S08	Not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent	I near 0.7	0.7408	0.922	↑	full-record		Skewness 4.61; zero-fraction 0.06.
glacier_pct	cryosphere	A	gla_pc_sse	gla_pc_use	Glacier/permanent snow	float	%	s+u	planned	L10	Not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent	I near 0.7	0.6629	0.8204	↑	pre-1500 valid		Skewness 15.30; zero-fraction 0.97; log-transformed for canonical Moran's I.
permafrost_pct	cryosphere	C	prm_pc_sse	prm_pc_use	Permafrost extent	float	%	s+u	implemented	L09	u available in basin08; placed in Band C in v01 payload	permafrost_extent		percentile	77.1% zero basins included in CDF as-is		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient		0.9589	0.9792	↑	pre-1500 valid	informative	Skewness 2.21; zero-fraction 0.77.
snow_cover_annual	cryosphere	C	snw_pc_syr	snw_pc_uyr	Snow cover annual	float	%	s+u	planned	C09	u available in basin08			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient		0.9746	0.9931	↑	pre-1500 valid		Skewness 1.36; zero-fraction 0.54; missing 3.0%.
snow_cover_max	cryosphere	C	snw_pc_smx		Snow cover maximum	float	%	s	planned	C09				percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid		deferred-phase4
discharge_annual	discharge	B	dis_m3_pyr		Discharge annual mean	float	m³/s	s	implemented	H01	Cumulative; no upstream avg meaningful	discharge_yr		log_percentile	log1p transform (8.3% zero basins)	discharge_max; discharge_min	Co-varies globally (|r| ≥ 0.90) with: discharge_max; discharge_min.	network-topology	Δ_I near -0.01	0.5822	0.5629	↓	pre-1500 valid	informative	Skewness 22.53; zero-fraction 0.09; log-transformed for canonical Moran's I.
discharge_min	discharge	B	dis_m3_pmn		Discharge monthly minimum	float	m³/s	s	implemented	H01		discharge_min		log_percentile	log1p transform (16.2% zero basins)	discharge_annual	Co-varies globally (|r| ≥ 0.90) with: discharge_annual.	network-topology		0.6136	0.5734	↓	pre-1500 valid	informative	Skewness 23.64; zero-fraction 0.17; log-transformed for canonical Moran's I.
discharge_max	discharge	B	dis_m3_pmx		Discharge monthly maximum	float	m³/s	s	implemented	H01		discharge_max		log_percentile	log1p transform (3.5% zero basins)	discharge_annual; river_area	Co-varies globally (|r| ≥ 0.90) with: discharge_annual; river_area.	scale-dependent		0.5352	0.5591	↑	pre-1500 valid	informative	Skewness 19.29; zero-fraction 0.03; log-transformed for canonical Moran's I.
runoff	discharge	B	run_mm_syr		Annual runoff	float	mm/yr	s	implemented	H02		runoff		percentile	3.9% zero basins included in CDF as-is		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient	I near 0.85	0.874	0.9707	↑	full-record	informative	Skewness 2.77; zero-fraction 0.03.
groundwater_depth	groundwater	B	gwt_cm_sav		Groundwater table depth	float	cm	s	implemented	H10		gw_table_depth		percentile	2.3% zero basins included in CDF as-is		No global co-variation |r| ≥ 0.90 with other signature variables.	scale-dependent	I near 0.85	0.8244	0.8573	↑	full-record	informative	Skewness 1.44; zero-fraction 0.01.
soil_water_content	groundwater	B	swc_pc_syr	swc_pc_uyr	Soil water content annual	float	%	s+u	planned	S06	Not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient		0.9701	0.9919	↑	pre-1500 valid		Skewness -0.24; zero-fraction 0.02.
river_area	surface_water	B	ria_ha_ssu	ria_ha_usu	River area	float	ha	s+u	implemented	H08	u already in view as river_area_upstream	river_area	river_area_upstream	log_percentile	log1p transform (2.2% zero basins)	discharge_max	Co-varies globally (|r| ≥ 0.90) with: discharge_max.	local-anomaly		0.485	0.5908	↑	pre-1500 valid	informative	Skewness 6.98; zero-fraction 0.01; log-transformed for canonical Moran's I.
river_volume	surface_water	B	riv_tc_ssu	riv_tc_usu	River channel volume	float		s+u	planned	H09	Not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	pre-1500 valid		deferred-phase4
