schema_key	dimension	band	basin08_col_s	basin08_col_u	friendly_name	type	units	s_u	status	atlas_id	notes	api_key_s	api_key_u	position_method	position_notes	high_r_partner	typology_cluster	scale_sensitivity	historical_validity	informative_or_degenerate
elevation_min	elevation	A	ele_mt_smn		Elevation minimum	float	m	s	implemented	P01	Basin minimum elevation	elev_min		percentile	6.0% zero basins included in CDF as-is		continental-gradient		full-record	informative
elevation_max	elevation	A	ele_mt_smx		Elevation maximum	float	m	s	implemented	P01	Basin maximum elevation	elev_max		percentile	non-null basins; no transform needed		scale-dependent	I near 0.85	full-record	informative
elevation_mean	elevation	A	ele_mt_sav	ele_mt_uav	Elevation mean	float	m	s+u	planned	P01	Mean basin elevation; u available in basin08			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		continental-gradient		full-record	
elevation_point	elevation	A			Point elevation	float	m	point	implemented		Derived from OpenTopoData/Open-Meteo; not a basin08 field	elev_point		percentile	best-effort; not yet implemented; transform to be confirmed on implementation				full-record	
relief_range_m	elevation	A			Relief range	float	m	derived	implemented		Derived: elev_max - elev_min	relief_range_m		percentile	best-effort; not yet implemented; transform to be confirmed on implementation				full-record	
relief_position	elevation	A			Relief position	float	0–1	derived	implemented		Derived: (elev_point - elev_min) / relief_range	relief_position		percentile	best-effort; not yet implemented; transform to be confirmed on implementation				full-record	
slope_deg	terrain	A	slp_dg_sav	slp_dg_uav	Slope	float	degrees	s+u	implemented	P02	u already in view as slope_upstream	slope_avg	slope_upstream	percentile	3.4% null basins excluded from CDF; 4.8% zero basins included in CDF as-is		scale-dependent		full-record	informative
stream_gradient	terrain	A	sgr_dk_sav		Stream gradient	float	m/km	s	implemented	P03		stream_gradient		percentile	4.1% null basins excluded from CDF; 1.4% zero basins included in CDF as-is		scale-dependent	I near 0.7	full-record	informative
lithology_id	geology	A	lit_cl_smj		Lithology class ID	integer		s	implemented		Lookup: lu_lit; raw ID not in API output (resolved name at lith_class)			rarity_rank	16 classes; rarity range 0.07%–27.7% of non-null L8 basins				full-record	informative
lithology_name	geology	A	lit_cl_smj		Lithology class name	string		s	implemented		Resolved via lu_lit	lith_class		rarity_rank	16 classes; rarity range 0.07%–27.7% of non-null L8 basins				full-record	informative
karst_pct	geology	A	kar_pc_sse	kar_pc_use	Karst area	float	%	s+u	implemented	S07	u already in view as karst_upstream	karst	karst_upstream	percentile	81.9% zero basins included in CDF as-is		scale-dependent	I near 0.7	full-record	informative
erosion_rate	geology	A	ero_kh_sav	ero_kh_uav	Erosion rate	float	t/ha/yr	s+u	planned	S08	Not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		scale-dependent	I near 0.7	full-record
glacier_pct	cryosphere	A	gla_pc_sse	gla_pc_use	Glacier/permanent snow	float	%	s+u	planned	L10	Not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		scale-dependent	I near 0.7	pre-1500 valid
permafrost_pct	cryosphere	C	prm_pc_sse	prm_pc_use	Permafrost extent	float	%	s+u	implemented	L09	u available in basin08; placed in Band C in v01 payload	permafrost_extent		percentile	77.1% zero basins included in CDF as-is		continental-gradient		pre-1500 valid	informative
snow_cover_annual	cryosphere	C	snw_pc_syr	snw_pc_uyr	Snow cover annual	float	%	s+u	planned	C09	u available in basin08			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		continental-gradient		pre-1500 valid	
snow_cover_max	cryosphere	C	snw_pc_smx		Snow cover maximum	float	%	s	planned	C09				percentile	best-effort; not yet implemented; transform to be confirmed on implementation				pre-1500 valid	
discharge_annual	discharge	B	dis_m3_pyr		Discharge annual mean	float	m³/s	s	implemented	H01	Cumulative; no upstream avg meaningful	discharge_yr		log_percentile	log1p transform (8.3% zero basins)	discharge_max; discharge_min	network-topology	Δ_I near -0.01	pre-1500 valid	informative
discharge_min	discharge	B	dis_m3_pmn		Discharge monthly minimum	float	m³/s	s	implemented	H01		discharge_min		log_percentile	log1p transform (16.2% zero basins)	discharge_annual	network-topology		pre-1500 valid	informative
discharge_max	discharge	B	dis_m3_pmx		Discharge monthly maximum	float	m³/s	s	implemented	H01		discharge_max		log_percentile	log1p transform (3.5% zero basins)	discharge_annual; river_area	scale-dependent		pre-1500 valid	informative
runoff	discharge	B	run_mm_syr		Annual runoff	float	mm/yr	s	implemented	H02		runoff		percentile	3.9% zero basins included in CDF as-is		continental-gradient	I near 0.85	full-record	informative
groundwater_depth	groundwater	B	gwt_cm_sav		Groundwater table depth	float	cm	s	implemented	H10		gw_table_depth		percentile	2.3% zero basins included in CDF as-is		scale-dependent	I near 0.85	full-record	informative
soil_water_content	groundwater	B	swc_pc_syr	swc_pc_uyr	Soil water content annual	float	%	s+u	planned	S06	Not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		continental-gradient		pre-1500 valid	
river_area	surface_water	B	ria_ha_ssu	ria_ha_usu	River area	float	ha	s+u	implemented	H08	u already in view as river_area_upstream	river_area	river_area_upstream	log_percentile	log1p transform (2.2% zero basins)	discharge_max	local-anomaly		pre-1500 valid	informative
river_volume	surface_water	B	riv_tc_ssu	riv_tc_usu	River channel volume	float		s+u	planned	H09	Not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation				pre-1500 valid	
lake_area_pct	surface_water	B	lka_pc_sse	lka_pc_use	Lake area	float	%	s+u	planned	H04	Not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		scale-dependent	I near 0.7	pre-1500 valid
lake_volume_upstream	surface_water	B		lkv_mc_usu	Lake volume upstream	float		u	planned	H05	u-only field			percentile	best-effort; not yet implemented; transform to be confirmed on implementation				pre-1500 valid	
inundation_min	inundation	B	inu_pc_smn	inu_pc_umn	Inundation extent minimum	float	%	s+u	planned	H03	Flood signal; not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation				pre-1500 valid	
inundation_max	inundation	B	inu_pc_smx	inu_pc_umx	Inundation extent maximum	float	%	s+u	planned	H03	Flood signal; not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		scale-dependent		pre-1500 valid
inundation_longterm	inundation	B	inu_pc_slt	inu_pc_ult	Inundation extent long-term	float	%	s+u	planned	H03	Flood signal; not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation				pre-1500 valid	
wetland_pct_g1	wetlands	B	wet_pc_sg1	wet_pc_ug1	Wetland extent group 1	float	%	s+u	implemented	L06	u available in basin08	wet_pct_grp1	wet_pct_grp1_upstream	percentile	56.9% zero basins included in CDF as-is		scale-dependent		pre-1500 valid	informative
wetland_pct_g2	wetlands	B	wet_pc_sg2	wet_pc_ug2	Wetland extent group 2	float	%	s+u	implemented	L06	s+u both in signature	wet_pct_grp2	wet_pct_grp2_upstream	percentile	71.1% zero basins included in CDF as-is		scale-dependent		pre-1500 valid	informative
wetland_class_id	wetlands	B	wet_cl_smj		Wetland class ID	integer		s	implemented		Lookup: lu_wet	wetland_class		rarity_rank	13 classes; rarity range 0.71%–49.2% of non-null L8 basins				pre-1500 valid	informative
reservoir_vol	water_management	D		rev_mc_usu	Reservoir volume upstream	float		u	implemented	H06	u-only field; in Band D in v01 payload	reservoir_vol		log_percentile	log1p transform (89.5% zero basins)				modern-only	degenerate
degree_of_regulation	water_management	B	dor_pc_pva		Degree of regulation by dams	float	%	s	planned	H07	Not currently in signature			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		network-topology		modern-only	
pct_clay	soils	B	cly_pc_sav	cly_pc_uav	Clay content	float	%	s+u	implemented	S01	s+u both in signature	pct_clay	pct_clay_upstream	percentile	9.1% null basins excluded from CDF		continental-gradient		full-record	informative
pct_silt	soils	B	slt_pc_sav	slt_pc_uav	Silt content	float	%	s+u	implemented	S02	s+u both in signature	pct_silt	pct_silt_upstream	percentile	9.1% null basins excluded from CDF		continental-gradient	Δ_I near -0.01	full-record	informative
pct_sand	soils	B	snd_pc_sav	snd_pc_uav	Sand content	float	%	s+u	implemented	S03	s+u both in signature; clay+silt+sand≈100 (compositional): drop pct_sand from classification feature matrices to avoid spurious linear dependency	pct_sand	pct_sand_upstream	percentile	9.1% null basins excluded from CDF		continental-gradient	I near 0.85	full-record	informative
soil_organic_carbon	soils	B	soc_th_sav	soc_th_uav	Soil organic carbon	float	t/ha	s+u	planned	S04	Not currently in signature; good agricultural fertility proxy			percentile	best-effort; not yet implemented; transform to be confirmed on implementation		continental-gradient	I near 0.85	full-record	
climate_zone_id	climate_type	C	clz_cl_smj		Climate zone ID	integer		s	implemented		Lookup: lu_clz; raw ID not in API output (resolved name at zone_name)			rarity_rank	18 classes; rarity range 0.64%–15.1% of non-null L8 basins				pre-1500 valid	informative
climate_zone_name	climate_type	C	clz_cl_smj		Climate zone name	string		s	implemented		Resolved via lu_clz	zone_name		rarity_rank	18 classes; rarity range 0.64%–15.1% of non-null L8 basins				pre-1500 valid	informative
climate_stratum_id	climate_type	C	cls_cl_smj		Climate stratum ID	integer		s	implemented		Lookup: lu_cls; raw ID not in API output (resolved code at strata_code)			rarity_rank	125 classes; rarity range 0.02%–2.4% of non-null L8 basins				pre-1500 valid	informative
climate_stratum_code	climate_type	C	cls_cl_smj		Climate stratum code	string		s	implemented		Resolved via lu_cls	strata_code		rarity_rank	125 classes; rarity range 0.02%–2.4% of non-null L8 basins				pre-1500 valid	informative
